"","ID","Lat","Lon","Year","Miss Tmax","Miss Tmin","Miss Prcp","Avg Temp","Avg Tmax","Avg Tmin","ToT Prcp","Max Tmax","Min Tmax","Max Tmin","Min Tmin","Warm Days","Warm Nights","Cold Days","Cold Nights","Max 1-day P","Max 5-day P","Wet Days"
"1930-12-31","USW00023160",32.1314,-110.9553,1930,0,2,1,67.34,82.22,52.47,11.24,110,48,84,20,9.86,14.79,13.15,9.32,1.23,2.1,9.3
"1931-12-31","USW00023160",32.1314,-110.9553,1931,0,0,1,67.22,81.28,53.17,16.2,108,40,81,23,7.12,15.07,16.71,14.52,2.09,2.16,13.1
"1932-12-31","USW00023160",32.1314,-110.9553,1932,3,2,0,66.38,81.69,51.08,10.94,110,43,85,19,9.59,12.88,15.89,14.25,0.94,1.69,8.37
"1933-12-31","USW00023160",32.1314,-110.9553,1933,1,2,0,66.89,83,50.77,9.6,111,48,84,18,10.96,16.44,11.51,18.9,1.45,1.9,7.5
"1934-12-31","USW00023160",32.1314,-110.9553,1934,3,5,0,69.06,85.15,52.98,8.59,109,50,82,21,12.05,13.7,9.86,13.42,0.92,1.38,6.75
"1935-12-31","USW00023160",32.1314,-110.9553,1935,2,1,0,66.6,81.57,51.63,15.77,106,39,79,21,6.3,9.32,14.52,12.6,2.88,3.05,13.33
"1936-12-31","USW00023160",32.1314,-110.9553,1936,4,5,5,67.89,83.51,52.27,12.24,111,50,85,22,10.14,11.51,10.68,15.07,2,2.11,10.25
"1937-12-31","USW00023160",32.1314,-110.9553,1937,4,4,3,67.49,83.18,51.8,8.29,110,36,84,15,9.86,13.97,10.96,14.52,0.87,1.15,6.1
"1938-12-31","USW00023160",32.1314,-110.9553,1938,32,1,0,68.08,84.19,51.98,8.89,108,47,80,26,7.67,9.86,7.67,13.15,1.56,2.07,6.57
"1939-12-31","USW00023160",32.1314,-110.9553,1939,2,3,1,68.16,83.33,53,7.05,107,45,82,24,8.77,12.6,14.25,13.42,1.18,1.37,5.24
"1940-12-31","USW00023160",32.1314,-110.9553,1940,14,13,13,68.34,83.43,53.26,14.66,109,53,82,22,8.49,9.59,8.77,8.22,2.25,2.27,12.45
"1941-12-31","USW00023160",32.1314,-110.9553,1941,0,0,0,67.18,81.84,52.52,15.63,108,47,83,26,6.03,6.85,13.7,4.93,1.45,1.78,12.66
"1942-12-31","USW00023160",32.1314,-110.9553,1942,0,0,0,67.26,83.67,50.85,8.05,110,42,82,25,12.33,11.78,9.04,14.79,1.19,1.57,6.52
"1943-12-31","USW00023160",32.1314,-110.9553,1943,13,8,8,68.35,84.85,51.86,9.89,110,52,77,23,11.78,7.12,8.49,9.59,2.15,3.04,7.87
"1944-12-31","USW00023160",32.1314,-110.9553,1944,1,1,0,67.12,82.37,51.88,13.32,112,51,82,22,12.88,13.15,14.52,14.25,1.52,1.61,11.31
"1945-12-31","USW00023160",32.1314,-110.9553,1945,8,7,6,66.9,83.01,50.8,7.19,110,50,79,19,11.23,12.33,9.04,18.08,1.59,1.81,4.85
"1946-12-31","USW00023160",32.1314,-110.9553,1946,4,0,0,67.07,83.07,51.07,13.67,108,43,80,20,10.14,10.14,13.15,16.44,1.47,2.07,10.34
"1947-12-31","USW00023160",32.1314,-110.9553,1947,7,6,6,67.72,83.4,52.03,5.34,111,44,87,22,13.42,12.6,13.97,15.62,0.63,0.83,3.22
"1948-12-31","USW00023160",32.1314,-110.9553,1948,2,2,0,68.39,83.63,53.16,6.69,111,41,83,20,15.89,17.53,16.44,15.07,0.6,0.94,4.02
"1949-12-31","USW00023160",32.1314,-110.9553,1949,0,0,0,67.38,81.02,53.74,7.66,107,36,82,16,6.03,14.25,17.26,11.78,1.3,1.91,4.89
