X,Y,FID,POINAME,POITYPE,POILABEL,POIFEATTYPE,ISEXTANT,XYACCURACY,MAPMETHOD,MAPSOURCE,SOURCESCALE,SOURCEDATE,PUBLICDISPLAY,DATAACCESS,UNITCODE,UNITNAME,REGIONCODE,LOCATIONID,ASSETID,FEATUREID,GEOMETRYID,NOTES,GlobalID
-110.714014001,43.6597138,27,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{8BCD4804-8DCE-4D12-834E-03A85CF1DC77},{BD28CB02-D692-4FD8-B023-E88841D21F27},,{A2B2E803-3241-4D9B-AFFD-4988051AC4DD}
-110.5018023,43.9010525,29,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{5A78BDF8-FB11-44AD-8D1E-DD93CDBF537F},{1A77CD93-E2E9-4CD6-837B-4E02D79E1D85},,{56050243-F98A-4FF1-9EED-8ADE43A71A1D}
-110.6157388,43.7560938,31,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{22186D20-9F5A-46E0-931F-2E20680BD0BB},{6D056253-C6B2-4696-AC4B-EEEB5045254A},,{3BB2DD78-E188-4B00-BF61-3026DFBECD1C}
-110.723087,43.7507273,33,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{D70B5A2B-51C8-49AC-BFDB-1D5DFD6CF912},{287A5B17-1080-4A32-8599-D553359C5155},,{F7FF0399-7045-4B1C-A5C4-08AD18437AB3}
-110.7238363,43.7503106,34,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{1A1B5FFE-A2B6-4508-AB82-E996AAB2451B},{D0A4F9E9-105F-45E9-AA1F-A0C52B17EF33},,{9457A499-E005-4859-B24A-B45B2335258B}
-110.576050599,43.8778748,37,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{EC68B2AA-D017-4C93-85FF-3E3D09F4390D},{29C347DA-19E2-4725-8C01-6C2DEC8B96AB},,{FA36F6A5-7FF3-410F-84A1-10A6DF1F432C}
-110.6703851,43.7115985,38,Schwabacher Landing Parking,Parking,Schwabacher Landing Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{23B3A661-F97F-447E-BAC0-2DAE09893DD3},{84178730-FC87-4AEC-829C-349837607214},,{B3711365-AE89-4DEB-8D5F-8C2E5F29923F}
-110.7281096,43.7850138,39,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{E5B67B47-509B-44B8-83BF-4233B1E0A57B},{7C07F8A6-3BB9-42AB-8AD3-B0BEB3F1B68C},,{EEC7CDDF-1242-4C4E-AABC-FFC45DD5230A}
-110.6004568,43.8457324,42,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{11C3AAE3-4A1A-4AAB-BB4C-AF470685FFC5},{1752BAC3-992C-4FF8-94C9-E246DBB91581},,{B981AF70-DBFD-479F-996D-3DB42E44D892}
-110.662994901,43.6185744,43,GVC Amphitheater Parking,Parking,GVC Amphitheater Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{66AE4377-18DF-45C8-86EA-A0D7692A8055},{D67D62DE-34D0-49E0-AC62-94A6281CDDD3},,{86B249F1-BF31-4163-BD9D-D3067B25B383}
-110.7178354,43.6547078,44,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{9DE4D2DD-7F10-4784-918D-C932A215FAA9},{808EC3DC-AEBA-4904-8BB5-B779645B8D24},,{BA15C5EB-D8CB-4456-A5D7-FDEEB06290E7}
-110.6162326,43.8386036,45,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{C0D2127D-59ED-4803-B36C-8B31F0853120},{53B66B46-C7D9-43AE-90E1-76BA36B15F29},,{F36A9D00-34E6-4EB4-A59D-B44A2B767A6D}
-110.6155796,43.8229566,46,South Landing Parking Area,Parking,South Landing Parking Area,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{6E5DB54B-DFF6-401A-B0A9-2229D81B5647},{6F11A99B-5FB8-42BB-ADB6-4319F70571D3},,{615A404F-9F40-4727-9A02-2CE2D890117D}
-110.7272888,43.7848666,53,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{8C58FFA6-55C0-4210-9734-B73862DA0300},{20BDC76B-652A-4561-9016-F135770E131A},,{3D18CEAF-B986-40AF-A0A0-148833D50BF8}
-110.6109819,43.843282,54,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{529489F4-5F0C-4156-89AD-5B03887529A4},{23C1D503-3136-4040-8D46-186992195321},,{B3A76053-774F-421D-A282-6C7942601502}
